paper_id,year,venue,model_reported,strict_reported
2020.acl-main.569,2020,ACL,0,0
2020.acl-main.57,2020,ACL,0,0
2020.acl-main.570,2020,ACL,0,0
2020.acl-main.571,2020,ACL,0,0
2020.acl-main.572,2020,ACL,0,0
2020.acl-main.573,2020,ACL,0,0
2020.acl-main.574,2020,ACL,0,0
2020.acl-main.575,2020,ACL,0,0
2020.acl-main.576,2020,ACL,0,0
2020.acl-main.577,2020,ACL,0,0
2020.acl-main.578,2020,ACL,0,0
2020.acl-main.579,2020,ACL,0,0
2020.acl-main.58,2020,ACL,0,0
2020.acl-main.580,2020,ACL,0,0
2020.acl-main.581,2020,ACL,0,0
2020.acl-main.582,2020,ACL,0,0
2020.acl-main.583,2020,ACL,0,0
2020.acl-main.584,2020,ACL,0,0
2020.acl-main.585,2020,ACL,0,0
2020.acl-main.586,2020,ACL,1,1
2020.acl-main.587,2020,ACL,0,0
2020.acl-main.588,2020,ACL,0,0
2020.acl-main.589,2020,ACL,0,0
2020.acl-main.59,2020,ACL,0,0
2020.acl-main.590,2020,ACL,0,0
2020.acl-main.591,2020,ACL,0,0
2020.acl-main.592,2020,ACL,0,0
2020.acl-main.593,2020,ACL,1,1
2020.acl-main.594,2020,ACL,0,0
2020.acl-main.595,2020,ACL,1,0
2020.acl-main.596,2020,ACL,0,0
2020.acl-main.597,2020,ACL,0,0
2020.acl-main.598,2020,ACL,0,0
2020.acl-main.599,2020,ACL,1,0
2020.acl-main.6,2020,ACL,0,0
2020.acl-main.60,2020,ACL,0,0
2020.acl-main.600,2020,ACL,0,0
2020.acl-main.601,2020,ACL,0,0
2020.acl-main.602,2020,ACL,0,0
2020.acl-main.603,2020,ACL,0,0
2020.acl-main.604,2020,ACL,1,0
2020.acl-main.605,2020,ACL,0,0
2020.acl-main.606,2020,ACL,0,0
2020.acl-main.607,2020,ACL,0,0
2020.acl-main.608,2020,ACL,0,0
2020.acl-main.609,2020,ACL,0,0
2020.acl-main.61,2020,ACL,0,0
2020.acl-main.610,2020,ACL,0,0
2020.acl-main.611,2020,ACL,0,0
2020.acl-main.612,2020,ACL,0,0
2020.acl-main.613,2020,ACL,0,0
2020.acl-main.614,2020,ACL,0,0
2020.acl-main.615,2020,ACL,0,0
2020.acl-main.616,2020,ACL,1,1
2020.acl-main.617,2020,ACL,1,0
2020.acl-main.618,2020,ACL,0,0
2020.acl-main.619,2020,ACL,0,0
2020.acl-main.62,2020,ACL,0,0
2020.acl-main.620,2020,ACL,0,0
2020.acl-main.621,2020,ACL,0,0
2020.acl-main.622,2020,ACL,0,0
2020.acl-main.623,2020,ACL,0,0
2020.acl-main.624,2020,ACL,1,0
2020.acl-main.625,2020,ACL,1,1
2020.acl-main.626,2020,ACL,0,0
2020.acl-main.627,2020,ACL,0,0
2020.acl-main.628,2020,ACL,0,0
2020.acl-main.629,2020,ACL,0,0
2020.acl-main.63,2020,ACL,0,0
2020.acl-main.630,2020,ACL,0,0
2020.acl-main.631,2020,ACL,0,0
2020.acl-main.632,2020,ACL,0,0
2020.acl-main.633,2020,ACL,0,0
2020.acl-main.634,2020,ACL,0,0
2020.acl-main.635,2020,ACL,0,0
2020.acl-main.636,2020,ACL,0,0
2020.acl-main.637,2020,ACL,0,0
2020.acl-main.638,2020,ACL,1,0
2020.acl-main.639,2020,ACL,0,0
2020.acl-main.64,2020,ACL,0,0
2020.acl-main.640,2020,ACL,1,0
2020.acl-main.641,2020,ACL,0,0
2020.acl-main.642,2020,ACL,0,0
2020.acl-main.643,2020,ACL,0,0
2020.acl-main.644,2020,ACL,0,0
2020.acl-main.645,2020,ACL,0,0
2020.acl-main.646,2020,ACL,0,0
2020.acl-main.647,2020,ACL,0,0
2020.acl-main.648,2020,ACL,1,1
2020.acl-main.649,2020,ACL,0,0
2020.acl-main.65,2020,ACL,0,0
2020.acl-main.650,2020,ACL,0,0
2020.acl-main.651,2020,ACL,0,0
2020.acl-main.652,2020,ACL,0,0
2020.acl-main.653,2020,ACL,0,0
2020.acl-main.654,2020,ACL,0,0
2020.acl-main.655,2020,ACL,0,0
2020.acl-main.656,2020,ACL,0,0
2020.acl-main.657,2020,ACL,0,0
2020.acl-main.658,2020,ACL,0,0
2020.acl-main.659,2020,ACL,0,0
2020.acl-main.66,2020,ACL,0,0
2020.acl-main.660,2020,ACL,0,0
