paper_id,year,openalex_work_id,first_author_openalex_id,last_author_openalex_id,author_count_openalex,institution_count_openalex,author_id_coverage,institution_id_coverage,author_history_coverage,institution_history_coverage,author_prior_citations_3y_max_log1p,author_prior_works_3y_mean_log1p,institution_prior_citations_3y_max_log1p,has_code_url,has_model_url,has_data_url,has_public_artifact,history_window_years
2020.emnlp-main.125,2020,W3100038956,A5112403434,A5112241147,2,2,1,1,1,1,5.1059454739005803,2.8033603809065348,14.07609708935412,0,0,0,0,3
2020.emnlp-main.129,2020,W3106098584,A5100775958,A5100770462,10,3,1,1,1,1,9.5643016372172323,3.5862928653388351,14.6860090474076,1,0,0,1,3
2020.emnlp-main.130,2020,W3098984027,A5019206012,A5032588064,3,2,1,1,1,1,7.3211885567394779,2.6149597780361979,13.118132439596508,0,0,0,0,3
2020.emnlp-main.132,2020,W3102348525,A5100713692,A5023775139,6,3,1,1,1,1,8.3298992929957247,3.6888794541139358,14.36335562771789,0,0,0,0,3
2020.emnlp-main.136,2020,W3098913828,A5012370787,A5019539533,5,2,1,1,1,1,8.8620586773954724,4.2341065045972597,13.917560700377752,0,0,0,0,3
2020.emnlp-main.140,2020,W3101427524,A5030640229,A5089539629,3,1,1,1,1,1,7.3796321526095516,3.6549779024382549,13.617366889101389,0,0,0,0,3
2020.emnlp-main.143,2020,W3089817689,A5015826285,A5081398601,5,1,1,1,1,1,9.7061335729082128,3.9963641538618968,13.617366889101389,0,0,0,0,3
2020.emnlp-main.144,2020,W3104210310,A5018985705,A5057853630,5,3,1,1,1,1,8.6581717846758099,3.520460802488973,15.630503527014731,0,0,0,0,3
2020.emnlp-main.145,2020,W3102037269,A5101936199,A5074834854,4,4,1,1,1,1,8.527539483470381,3.5624655292582776,11.252521278294576,0,0,0,0,3
2020.emnlp-main.147,2020,W3102521862,A5110259784,A5070030398,3,1,1,1,1,1,8.2753763748364069,3.9053340172773492,14.477354360394724,0,0,0,0,3
2020.emnlp-main.148,2020,W3087176213,A5004256678,A5034228010,8,2,1,1,1,1,8.9382691470385485,3.5115454388310208,14.416028062956311,0,0,0,0,3
2020.emnlp-main.15,2020,W3092154909,A5087863947,A5061951606,3,2,1,1,1,1,7.5475016828149668,3.5457786104732629,14.193353667016128,0,0,0,0,3
2020.emnlp-main.150,2020,W3101471490,A5100723363,A5035840666,5,3,1,1,1,1,6.7129562006770698,2.3978952727983707,14.36335562771789,0,1,0,1,3
2020.emnlp-main.152,2020,W3099757670,A5101655561,A5112746575,4,4,1,1,1,1,4.990432586778736,1.9810014688665836,14.713774987941722,0,1,0,1,3
2020.emnlp-main.154,2020,W3089430725,A5013626682,A5112713734,4,4,1,1,1,1,8.8041750187536252,3.1354942159291497,13.95116581858359,0,0,0,0,3
2020.emnlp-main.155,2020,W3103419924,A5066282713,A5087096372,2,0,1,0,1,0,8.928375259853631,3.9982007016691994,,0,0,0,0,3
2020.emnlp-main.158,2020,W3100749323,A5101110247,A5009408707,5,1,1,1,1,1,8.8620586773954724,3.698829784967105,13.900988927164356,0,0,0,0,3
2020.emnlp-main.16,2020,W3093002075,A5089452138,A5112713734,5,2,1,1,1,1,8.8041750187536252,2.9444389791664403,13.95116581858359,0,0,0,0,3
2020.emnlp-main.160,2020,W3097213971,A5033032726,A5086934220,3,2,1,1,1,1,7.1412451223504911,2.8716796248840124,14.563995468146317,0,0,0,0,3
2020.emnlp-main.161,2020,W3105232955,A5100657555,A5100442542,6,1,1,1,1,1,8.8237951487205297,3.1710851610318525,12.172112471446578,0,1,0,1,3
2020.emnlp-main.162,2020,W3101065397,A5074267258,A5001987532,2,2,1,1,1,1,8.9895690048070289,4.0073331852324712,14.184544019853476,0,1,0,1,3
2020.emnlp-main.164,2020,W3100132436,A5101447904,A5040759280,2,1,1,1,1,1,6.7464121285733754,3.044522437723423,13.817679204749046,0,0,0,0,3
2020.emnlp-main.165,2020,W3102031770,A5031774490,A5101790663,6,5,1,1,1,1,7.4888529557334591,2.9789251552376097,15.630503527014731,0,0,0,0,3
2020.emnlp-main.166,2020,W3104609290,A5062286364,A5107808331,6,1,1,1,1,1,9.5463124835557114,3.7612001156935615,8.5316876375666908,1,0,0,1,3
2020.emnlp-main.169,2020,W3101299315,A5100456303,A5086674741,7,5,1,1,1,1,9.0006065075718915,4.1982754850703321,14.097719681113714,0,0,0,0,3
2020.emnlp-main.17,2020,W3106483960,A5101402110,A5102745649,9,4,1,1,1,1,8.2962971126425078,3.2451931331855741,14.070616234815851,0,0,0,0,3
2020.emnlp-main.171,2020,W3091822641,A5049088608,A5051693368,3,1,1,1,1,1,7.4742048064961244,3.4760986898352728,13.961522493595345,0,0,0,0,3
2020.emnlp-main.174,2020,W3020268419,A5101793596,A5071144367,5,3,1,1,1,1,8.4713586550724376,3.9889840465642745,13.893857675090135,0,1,0,1,3
2020.emnlp-main.175,2020,W3101683892,A5089015542,A5015785439,4,4,1,1,1,1,7.633369649679584,3.9019726695746448,14.948593836147561,0,1,0,1,3
2020.emnlp-main.176,2020,W3105848458,A5023250445,A5110579339,6,2,1,1,1,1,8.6285556592696988,4.0163830207523885,13.814376915634556,0,0,0,0,3
2020.emnlp-main.179,2020,W3103564003,A5100414942,A5100636286,7,3,1,1,1,1,9.6375017381661081,3.6598919172406839,13.14206207773166,0,0,0,0,3
2020.emnlp-main.18,2020,W3104108820,A5029654514,A5024200617,6,2,1,1,1,1,5.9506425525877269,1.6739764335716716,12.853482123416248,0,0,0,0,3
2020.emnlp-main.180,2020,W3021534198,A5063061204,A5047337772,4,1,1,1,1,1,6.3595738686723777,2.9041650800285006,13.842769630474711,0,0,0,0,3
2020.emnlp-main.181,2020,W3098383912,A5058353652,A5088834359,7,2,1,1,1,1,8.7436911105430202,3.377099830083095,13.914782878113618,0,0,0,0,3
2020.emnlp-main.184,2020,W3084513203,A5103277328,A5053217291,6,3,1,1,1,1,8.3696208269491024,3.4657359027997265,14.543604427187256,0,0,1,1,3
2020.emnlp-main.187,2020,W3022495033,A5010343739,A5038456766,3,1,1,1,1,1,7.7935868033715838,3.2958368660043291,14.097719681113714,0,0,0,0,3
2020.emnlp-main.188,2020,W3104602136,A5115595118,A5111426224,4,2,1,1,1,1,7.6338535596817678,2.7568403652716422,13.814376915634556,0,0,0,0,3
2020.emnlp-main.189,2020,W3103227045,A5027647673,A5054771988,4,1,1,1,1,1,7.8343923029104348,3.0910424533583161,10.259587331098963,0,0,0,0,3
2020.emnlp-main.19,2020,W3105238007,A5072605113,A5051702877,10,1,1,1,1,1,7.8632667240095726,2.1517622032594619,13.616931562261003,0,0,0,0,3
2020.emnlp-main.190,2020,W3015721781,A5102917920,A5079840947,2,0,1,0,1,0,5.5947113796018391,2.3513752571634776,,1,0,0,1,3
2020.emnlp-main.191,2020,W3102009955,A5045927598,A5069596903,8,3,1,1,1,1,9.3232225290328561,4.3124755717127661,14.077938666547531,1,0,0,1,3
2020.emnlp-main.193,2020,W3100262863,A5019101763,A5017205177,8,3,1,1,1,1,9.1102990177959562,3.5904393813006839,14.214771795132586,0,1,0,1,3
2020.emnlp-main.194,2020,W3090808901,A5014688346,A5027450194,3,1,1,1,1,1,9.6621800305942465,4.3174881135363101,12.405378318864289,0,1,0,1,3
2020.emnlp-main.195,2020,W3101221466,A5021979625,A5026648049,3,1,1,1,1,1,7.3304052118444023,2.6625878270254528,13.687203210509171,0,0,1,1,3
2020.emnlp-main.197,2020,W3099150152,A5015055550,A5049998472,3,1,1,1,1,1,4.9126548857360524,1.3862943611198906,10.14960516741016,0,1,0,1,3
2020.emnlp-main.198,2020,W3099132737,A5100679181,A5054771988,4,1,1,1,1,1,6.3026189757449051,2.4203681286504293,13.073889263285816,0,0,0,0,3
2020.emnlp-main.2,2020,W3103518070,A5021733732,A5060225743,4,2,1,1,1,1,8.6256887875695369,3.7727609380946383,13.617366889101389,0,0,0,0,3
2020.emnlp-main.203,2020,W3091260814,A5061045500,A5101957153,2,2,1,1,1,1,6.0844994130751724,3.0204248861443626,13.893857675090135,0,0,0,0,3
2020.emnlp-main.21,2020,W3012209028,A5063343642,A5015133105,2,1,1,1,1,1,6.7923444274708089,3.2580965380214821,13.88800329776085,0,0,0,0,3
2020.emnlp-main.213,2020,W3087597081,A5039347839,A5103284923,4,2,1,1,1,1,6.6133842183795597,1.9810014688665836,13.617366889101389,0,0,0,0,3
2020.emnlp-main.214,2020,W3087621941,A5017553029,A5101957153,3,1,1,1,1,1,5.5451774444795623,2.456735772821304,13.893857675090135,0,1,0,1,3
2020.emnlp-main.215,2020,W3022891705,A5056169983,A5005443526,3,2,1,1,1,1,7.9377317752601089,3.729701448634192,14.077938666547531,0,0,0,0,3
2020.emnlp-main.216,2020,W3102315351,A5101086828,A5085736941,6,4,1,1,1,1,6.0185932144962342,2.498699971920336,15.630503527014731,0,0,0,0,3
2020.emnlp-main.217,2020,W3090831323,A5008689842,A5027962273,4,3,1,1,1,1,6.0567840132286248,1.9810014688665836,14.266708462840942,1,1,0,1,3
2020.emnlp-main.22,2020,W3101022597,A5041327449,A5019539533,3,1,1,1,1,1,8.7379338581141361,4.503506532211591,13.917560700377752,0,0,0,0,3
