anthology_id,venue_dir,venue,year,award,title,source_url,pdf_url
2024.acl-long.842,2024.acl-long,ACL,2024,Outstanding Paper Award,Emulated Disalignment: Safety Alignment for Large Language Models May Backfire!,https://aclanthology.org/2024.acl-long.842/,https://aclanthology.org/2024.acl-long.842.pdf
2024.acl-long.848,2024.acl-long,ACL,2024,"SAC Award: Linguistic theories, Cognitive Modeling and Psycholinguistics",COKE: A Cognitive Knowledge Graph for Machine Theory of Mind,https://aclanthology.org/2024.acl-long.848/,https://aclanthology.org/2024.acl-long.848.pdf
2024.acl-long.849,2024.acl-long,ACL,2024,Outstanding Paper Award,MultiPICo: Multilingual Perspectivist Irony Corpus,https://aclanthology.org/2024.acl-long.849/,https://aclanthology.org/2024.acl-long.849.pdf
2024.acl-long.851,2024.acl-long,ACL,2024,Outstanding Paper Award,MMToM-QA: Multimodal Theory of Mind Question Answering,https://aclanthology.org/2024.acl-long.851/,https://aclanthology.org/2024.acl-long.851.pdf
2024.acl-long.857,2024.acl-long,ACL,2024,Outstanding Paper Award,NounAtlas: Filling the Gap in Nominal Semantic Role Labeling,https://aclanthology.org/2024.acl-long.857/,https://aclanthology.org/2024.acl-long.857.pdf
2024.acl-long.860,2024.acl-long,ACL,2024,Outstanding Paper Award,Let’s Go Real Talk: Spoken Dialogue Model for Face-to-Face Conversation,https://aclanthology.org/2024.acl-long.860/,https://aclanthology.org/2024.acl-long.860.pdf
2024.acl-long.862,2024.acl-long,ACL,2024,Best Social Impact Paper Award,Having Beer after Prayer? Measuring Cultural Bias in Large Language Models,https://aclanthology.org/2024.acl-long.862/,https://aclanthology.org/2024.acl-long.862.pdf
2024.acl-long.864,2024.acl-long,ACL,2024,Outstanding Paper Award,Word Embeddings Are Steers for Language Models,https://aclanthology.org/2024.acl-long.864/,https://aclanthology.org/2024.acl-long.864.pdf
2024.emnlp-main.1074,2024.emnlp-main,EMNLP,2024,Special Theme Paper Award,DEM: Distribution Edited Model for Training with Mixed Data Distributions,https://aclanthology.org/2024.emnlp-main.1074/,https://aclanthology.org/2024.emnlp-main.1074.pdf
2024.emnlp-main.1114,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,Which questions should I answer? Salience Prediction of Inquisitive Questions,https://aclanthology.org/2024.emnlp-main.1114/,https://aclanthology.org/2024.emnlp-main.1114.pdf
2024.emnlp-main.1188,2024.emnlp-main,EMNLP,2024,Social Impact Paper Award,"Twists, Humps, and Pebbles: Multilingual Speech Recognition Models Exhibit Gender Performance Gaps",https://aclanthology.org/2024.emnlp-main.1188/,https://aclanthology.org/2024.emnlp-main.1188.pdf
2024.emnlp-main.1216,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,Do LLMs Plan Like Human Writers? Comparing Journalist Coverage of Press Releases with LLMs,https://aclanthology.org/2024.emnlp-main.1216/,https://aclanthology.org/2024.emnlp-main.1216.pdf
2024.emnlp-main.172,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,Verification and Refinement of Natural Language Explanations through LLM-Symbolic Theorem Proving,https://aclanthology.org/2024.emnlp-main.172/,https://aclanthology.org/2024.emnlp-main.172.pdf
2024.emnlp-main.195,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,GoldCoin: Grounding Large Language Models in Privacy Laws via Contextual Integrity Theory,https://aclanthology.org/2024.emnlp-main.195/,https://aclanthology.org/2024.emnlp-main.195.pdf
2024.emnlp-main.20,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,Learning Planning-based Reasoning by Trajectories Collection and Process Reward Synthesizing,https://aclanthology.org/2024.emnlp-main.20/,https://aclanthology.org/2024.emnlp-main.20.pdf
2024.emnlp-main.210,2024.emnlp-main,EMNLP,2024,Resource Paper Award,A User-Centric Multi-Intent Benchmark for Evaluating Large Language Models,https://aclanthology.org/2024.emnlp-main.210/,https://aclanthology.org/2024.emnlp-main.210.pdf
2024.emnlp-main.236,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,When Is Multilinguality a Curse? Language Modeling for 250 High- and Low-Resource Languages,https://aclanthology.org/2024.emnlp-main.236/,https://aclanthology.org/2024.emnlp-main.236.pdf
2024.emnlp-main.277,2024.emnlp-main,EMNLP,2024,Resource Paper Award,KidLM: Advancing Language Models for Children – Early Insights and Future Directions,https://aclanthology.org/2024.emnlp-main.277/,https://aclanthology.org/2024.emnlp-main.277.pdf
2024.emnlp-main.311,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,Words Worth a Thousand Pictures: Measuring and Understanding Perceptual Variability in Text-to-Image Generation,https://aclanthology.org/2024.emnlp-main.311/,https://aclanthology.org/2024.emnlp-main.311.pdf
2024.emnlp-main.406,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,Learning to Retrieve Iteratively for In-Context Learning,https://aclanthology.org/2024.emnlp-main.406/,https://aclanthology.org/2024.emnlp-main.406.pdf
2024.emnlp-main.53,2024.emnlp-main,EMNLP,2024,Outstanding Paper Award,Language Models Learn Rare Phenomena from Less Rare Phenomena: The Case of the Missing AANNs,https://aclanthology.org/2024.emnlp-main.53/,https://aclanthology.org/2024.emnlp-main.53.pdf
2024.emnlp-main.570,2024.emnlp-main,EMNLP,2024,Best Paper Award,Towards Robust Speech Representation Learning for Thousands of Languages,https://aclanthology.org/2024.emnlp-main.570/,https://aclanthology.org/2024.emnlp-main.570.pdf
